% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=253313, Thu Dec 12 05:58:56 2019, <python>{}</python>
1 25 0.2979428263073263 1.0000499582925475 9.576701214454319 9.5767012144543191e+00 104.73012609388726 127.37828837262916   
2 50 0.29602324352494436 1.0000499582925475 6.247175717229218 6.2471757172292177e+00 103.5814426346586 135.39317706669434   
3 75 0.29420126477041614 1.0000499582925475 6.247175717229218 1.1884815274596646e+01 108.31879034699918 137.76886565496895   
4 100 0.2924646462224418 1.0000499582925475 6.247175717229218 7.7319837607584452e+00 33.979602288335066 137.95805953694676   
5 125 0.2908092212664 1.0000499582925475 6.247175717229218 1.4916285356069642e+01 36.301282359285 126.38797002820908   
6 150 0.2892216985564138 1.0000499582925475 6.247175717229218 1.8743015092332399e+01 106.49009155150901 127.04590602665411   
7 175 0.28768300895070975 1.0000499582925475 6.247175717229218 1.1133240485106448e+01 101.62499215027908 128.99788246907562   
8 200 0.2861965209160579 1.0000499582925475 6.247175717229218 1.4618465306640632e+01 108.39214830713583 135.12303240226169   
9 225 0.28476249612680515 1.0000499582925475 6.247175717229218 1.3305414112769920e+01 37.0526485723162 143.1021110065807   
10 250 0.28339520757622283 1.0023903592983059 6.247175717229218 2.1024644276451625e+01 105.79750294795932 126.90142257279618   
